Topology,Routing,Traffic,Injection Rate,Received Packets,Average Delay,Throughput
mesh_8x8,XY,TRAFFIC_SHUFFLE,0.01,5865,24.4346,5.21489
mesh_8x8,DYAD,TRAFFIC_RANDOM,0.01,5792,42.6511,5.14822
mesh_8x8,XY,TRAFFIC_RANDOM,0.01,5788,24.1038,5.14633
mesh_8x8,ODD_EVEN,TRAFFIC_SHUFFLE,0.15,9203,3381.92,8.183
mesh_8x8,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.01,5815,29.3481,5.16433
mesh_8x8,ODD_EVEN,TRAFFIC_SHUFFLE,0.1,10421,3257.48,9.26444
mesh_8x8,XY,TRAFFIC_RANDOM,0.05,10226,3330.03,9.09078
mesh_8x8,WEST_FIRST,TRAFFIC_RANDOM,0.1,6378,4583.09,5.666
mesh_8x8,DYAD,TRAFFIC_RANDOM,0.2,5252,5057.74,4.668
mesh_8x8,WEST_FIRST,TRAFFIC_SHUFFLE,0.2,10249,3981.87,9.10944
mesh_8x8,DYAD,TRAFFIC_SHUFFLE,0.1,11500,2701.72,10.2232
mesh_8x8,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.1,15745,2873.46,13.9927
mesh_8x8,DYAD,TRAFFIC_SHUFFLE,0.2,12097,3877.77,10.7504
mesh_8x8,XY,TRAFFIC_TRANSPOSE1,0.05,11111,1085.44,9.87544
mesh_8x8,WEST_FIRST,TRAFFIC_SHUFFLE,0.01,5872,19.6979,5.22133
mesh_8x8,ODD_EVEN,TRAFFIC_RANDOM,0.1,5651,4586.03,5.02122
mesh_8x8,XY,TRAFFIC_SHUFFLE,0.1,12189,2826.74,10.8347
mesh_8x8,DYAD,TRAFFIC_SHUFFLE,0.15,11313,3518.04,10.0554
mesh_8x8,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.05,13030,1883.48,11.5829
mesh_8x8,DYAD,TRAFFIC_RANDOM,0.1,5306,4569.95,4.71633
mesh_8x8,ODD_EVEN,TRAFFIC_RANDOM,0.2,5581,5062.29,4.96267
mesh_8x8,WEST_FIRST,TRAFFIC_RANDOM,0.2,6483,4963.36,5.76389
mesh_8x8,DYAD,TRAFFIC_TRANSPOSE1,0.05,11112,986.249,9.87689
mesh_8x8,DYAD,TRAFFIC_RANDOM,0.15,5483,4701.56,4.87411
mesh_8x8,XY,TRAFFIC_TRANSPOSE1,0.01,5528,119.47,4.913
mesh_8x8,XY,TRAFFIC_TRANSPOSE1,0.2,12378,3982.18,10.9997
mesh_8x8,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.1,14155,3205.86,12.5801
mesh_8x8,ODD_EVEN,TRAFFIC_RANDOM,0.01,5801,24.7449,5.15678
mesh_8x8,DYAD,TRAFFIC_SHUFFLE,0.01,5741,35.4832,5.10178
mesh_8x8,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.2,14302,4219.87,12.7118
mesh_8x8,WEST_FIRST,TRAFFIC_SHUFFLE,0.15,11161,3757.32,9.92056
mesh_8x8,DYAD,TRAFFIC_TRANSPOSE1,0.15,12380,3509.82,11.0007
mesh_8x8,ODD_EVEN,TRAFFIC_SHUFFLE,0.2,8580,3619.89,7.63067
mesh_8x8,XY,TRAFFIC_SHUFFLE,0.2,12561,3944.52,11.1661
