Topology,Routing,Traffic,Injection Rate,Received Packets,Average Delay,Throughput
mesh_8x8,ODD_EVEN,TRAFFIC_SHUFFLE,0.05,8216,773.75,7.30533
mesh_8x8,ODD_EVEN,TRAFFIC_RANDOM,0.15,5876,4834.88,5.22567
mesh_8x8,WEST_FIRST,TRAFFIC_SHUFFLE,0.05,10241,1367.04,9.10256
mesh_8x8,XY,TRAFFIC_RANDOM,0.1,10283,4344.29,9.14344
mesh_8x8,DYAD,TRAFFIC_TRANSPOSE1,0.01,5666,132.324,5.03489
mesh_8x8,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.2,15797,4062.08,14.0417
mesh_8x8,WEST_FIRST,TRAFFIC_SHUFFLE,0.1,10875,2667.07,9.66722
mesh_8x8,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.01,5686,58.5364,5.05589
mesh_8x8,XY,TRAFFIC_SHUFFLE,0.05,11172,1211.12,9.92744
mesh_8x8,XY,TRAFFIC_TRANSPOSE1,0.15,12381,3578.17,11.0003
mesh_8x8,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.05,14299,1218.99,12.7077
mesh_8x8,XY,TRAFFIC_RANDOM,0.15,10122,4753.41,8.99689
mesh_8x8,ODD_EVEN,TRAFFIC_RANDOM,0.05,5485,3698.58,4.87322
mesh_8x8,WEST_FIRST,TRAFFIC_RANDOM,0.05,6534,3607.91,5.80644
mesh_8x8,WEST_FIRST,TRAFFIC_RANDOM,0.01,5673,24.1523,5.04256
mesh_8x8,DYAD,TRAFFIC_RANDOM,0.05,5335,3795.07,4.743
mesh_8x8,ODD_EVEN,TRAFFIC_TRANSPOSE1,0.15,14170,3875.19,12.5959
mesh_8x8,DYAD,TRAFFIC_TRANSPOSE1,0.1,12379,2688.54,11.0002
mesh_8x8,WEST_FIRST,TRAFFIC_TRANSPOSE1,0.15,15741,3654.41,13.9919
mesh_8x8,XY,TRAFFIC_SHUFFLE,0.15,12425,3598.92,11.0417
mesh_8x8,DYAD,TRAFFIC_TRANSPOSE1,0.2,12374,3969.6,10.9999
mesh_8x8,XY,TRAFFIC_RANDOM,0.2,10306,4860.91,9.16011
mesh_8x8,DYAD,TRAFFIC_SHUFFLE,0.05,10503,1260.55,9.33556
mesh_8x8,WEST_FIRST,TRAFFIC_RANDOM,0.15,6356,4771.16,5.65233
mesh_8x8,ODD_EVEN,TRAFFIC_SHUFFLE,0.01,5705,17.0058,5.071
mesh_8x8,XY,TRAFFIC_TRANSPOSE1,0.1,12379,2646.41,11.0011
